日期,期貨收盤價,外資大小台,外資 op約當大台,外資 月支撐,外資 月壓力,外資 周支撐,外資 周壓力,外資 buy call num,外資 buy call cash,外資 buy put num,外資 buy put cash,外資 sell call num,外資 sell call cash,外資 sell put num,外資 sell put cash,自營商大小台,自營商 op約當大台,自營商 月支撐,自營商 月壓力,自營商 周支撐,自營商 周壓力,自營商 buy call num,自營商 buy call cash,自營商 buy put num,自營商 buy put cash,自營商 sell call num,自營商 sell call cash,自營商 sell put num,自營商 sell put cash,投信大小台,投信 op約當大台,投信 月支撐,投信 月壓力,投信 周支撐,投信 周壓力,投信 buy call num,投信 buy call cash,投信 buy put num,投信 buy put cash,投信 sell call num,投信 sell call cash,投信 sell put num,投信 sell put cash,十大 月淨多單,十大 所有淨多單,十大 周buy call 口數,十大 周buy put 口數,十大 月buy call 口數,十大 月buy put 口數,十大 周sell call 口數,十大 周sell put 口數,十大 月sell call 口數,十大 月sell put 口數,十大 所有buy call 口數,十大 所有buy put 口數,十大 所有sell call 口數,十大 所有sell put 口數,自營商(自行買賣)買賣差額,自營商(避險)買賣差額,投信買賣差額,外資及陸資買賣差額,外資自營商買賣差額,w call delta,w put delta,m call delta,m put delta,十大 周op約當大台,十大 月op約當大台,指數,量,5ma趨勢,20ma趨勢,均差,上市多頭家數,上市空頭家數,上櫃多頭家數,上櫃空頭家數,外資買超,op OI,匯率,特殊信號,上市強勢主流,上櫃強勢主流,上市弱勢主流,上櫃弱勢主流,買權留倉最大量,買權留倉次量,賣權留倉最大量,賣權留倉次量,買權留倉增加最多,賣權留倉增加最多,多頭家數,空頭家數,tse_buy,tse_sell,otc_buy,otc_sell,八大行庫,台指期
2020-04-28,10582.0,36446.25,-7143.601012064992,10564.888993863176,10471.891057138846,10856.185977462736,10314.885918854416,69431.0,857634.0,85424.0,1761455.0,41900.0,651784.0,70481.0,817799.0,8342.0,-11542.879544725212,10555.945527258344,10669.651563890911,10853.083142110036,10436.821111171375,74499.0,734792.0,172134.0,1419101.0,87872.0,840883.0,214160.0,2452362.0,-31820.0,0.0,9237.5,10400.0,10583.333333333334,10266.0,0.0,0.0,0.0,0.0,60.0,1080.0,88.0,132.0,-2048.0,1419.0,26238.0,51186.0,59225.0,49044.0,30297.0,36599.0,57157.0,44704.0,115656.0,229371.0,111797.0,228822.0,859201799.0,1118640408.0,2084549130.0,-1657659442.0,1337250.0,0.852,-0.963,0.5149453886272383,-0.7057924119685334,-6734.335499999999,-1029.3106027841413,10616.06,1834,多 :0.63,多 :0.45,232,514.5,36.5,418.0,45.5,-16,178.83,30.036,,"['橡膠工業(3.32)', '航運業(2.6)', '其他(1.88)', '觀光事業(1.24)', '金融保險(1.14)', '造紙工業(1.13)', '電子零組件業(1.13)', '電子通路業(1.12)', '貿易百貨(1.12)', '食品工業(1.09)']","['紡織纖維(2.38)', '通信網路業(2.09)', '化學工業(1.65)', '文化創意業(1.58)', '電腦及週邊類(1.24)', '其他(1.12)', '其他電子類(1.08)', '電子零組件類(1.03)']",[],[],11000.0, 11100   9429(   256),10000.0,  9000   8405(   415),11200.0,10300.0,608,12,905.1134098287739,822.2812951612258,234.0618049518811,195.3921858881189,-0.3,10582
2020-04-27,10547.0,36163.25,-6981.93135246834,10537.624278452657,10457.970236324454,10838.09751237072,10301.840058337384,67785.0,846653.0,81113.0,1830159.0,41140.0,637999.0,69642.0,867216.0,8555.5,-13540.24368478323,10539.478405027005,10639.34704405077,10838.903654359568,10418.594394862705,69190.0,719491.0,172215.0,1528841.0,81850.0,821580.0,207201.0,2587851.0,-31748.0,0.0,9223.232323232323,10400.0,10488.311688311689,10254.878048780489,0.0,0.0,0.0,0.0,60.0,1047.0,88.0,163.0,-3480.0,259.0,20496.0,44674.0,58105.0,49354.0,24322.0,33191.0,56065.0,43814.0,108742.0,226995.0,105435.0,224471.0,1235283943.0,2272466341.0,857035650.0,16864081962.0,-2220030.0,0.7764896450093165,-0.9343938606224238,0.5032907836050257,-0.7248995772781762,-6457.044891333802,-1633.2456889042733,10567.27,1787,空:-0.04,多 :0.41,213,221.0,84.5,258.0,62.0,168,187.93,30.025,起漲日,"['橡膠工業(4.35)', '光電業(3.66)', '塑膠工業(3.29)', '汽車工業(3.18)', '其他(3.02)', '電機機械(2.94)', '生技醫療業(2.93)', '紡織纖維(2.93)', '電子零組件業(2.81)', '觀光事業(2.76)', '建材營造(2.64)', '化學生技醫療(2.5)', '金融保險(2.23)', '航運業(2.19)', '資訊服務業(2.13)', '玻璃陶瓷(2.12)', '造紙工業(2.09)', '化學工業(2.08)', '鋼鐵工業(1.86)', '半導體業(1.83)', '其他電子業(1.81)', '電子通路業(1.78)', '電腦及週邊設備業(1.71)', '貿易百貨(1.6)', '電器電纜(1.54)', '通信網路業(1.29)', '食品工業(1.27)', '油電燃氣業(1.11)']","['光電業類(3.63)', '電子通路類(3.19)', '通信網路業(2.37)', '生技醫療類(2.11)', '紡織纖維(2.06)', '其他電子類(1.68)', '電子工業(1.48)', '觀光事業(1.42)', '電機機械(1.33)', '半導體類(1.25)', '電子零組件類(1.13)', '航運業(1.13)', '化學工業(1.10)', '資訊服務類(1.01)']",[],[],11000.0, 11100   9173(  1196),10000.0,  9000   7990(  1394),11100.0,10200.0,546,8,1223.130336073854,448.9062602461461,245.4683718046856,144.1845337653144,-0.6,10547
2020-04-24,10270.0,37096.25,-8785.225386364657,10473.28254977101,10391.529906855974,10725.88342874322,10194.13608936183,63656.0,608548.0,74887.0,2323796.0,40467.0,434158.0,61725.0,1173105.0,9464.5,-18207.269996823143,10455.425607874637,10521.46336561284,10716.310635149292,10281.515121062524,68078.0,466385.0,169180.0,2307524.0,79607.0,601829.0,193056.0,3579464.0,-33609.0,0.0,9345.90909090909,10400.0,10298.636363636364,10200.0,0.0,0.0,0.0,0.0,60.0,630.0,88.0,381.0,-4268.0,1523.0,20927.0,27307.0,56823.0,45134.0,20785.0,20156.0,54740.0,39714.0,105507.0,214771.0,101323.0,217062.0,-58700792.0,-347483741.0,656847227.0,-5735853113.0,-1423230.0,0.6381659571512671,-0.9710877102834938,0.4134763353022496,-0.8122514732392885,-3290.648279851701,-3291.29804807558,10347.36,1263,空:-0.48,多 :0.35,258,237.5,76.0,257.5,54.5,-57,166.52,30.08,,['資訊服務業(1.66)'],"['光電業類(1.19)', '通信網路業(1.00)']","['食品工業(-1.17)', '觀光事業(-1.12)']",[],11000.0, 10800   8939(   153),10000.0,  9800   6804(   712),10300.0,9800.0,271,26,614.0128427862397,565.6187895537603,173.6409722226209,170.0643463573791,13.1,10270
2020-04-23,10292.0,36121.75,-8313.35151693062,10509.652535941055,10403.128671282071,10763.379233443024,10207.477093146237,59686.0,630582.0,72116.0,2302862.0,37974.0,441385.0,58214.0,1156447.0,10541.0,-17054.347694797052,10488.783111658468,10545.982951783111,10751.878328782042,10303.471222290696,63289.0,477431.0,168962.0,2360803.0,76999.0,630806.0,185789.0,3592491.0,-34006.0,0.0,9354.545454545454,10400.0,10291.515151515152,10205.405405405403,0.0,0.0,0.0,0.0,60.0,702.0,88.0,398.0,-3823.0,1505.0,16252.0,19310.0,54494.0,44302.0,15740.0,18561.0,52957.0,39355.0,100322.0,209116.0,96985.0,216775.0,-257318759.0,-508064676.0,1378865554.0,-3960434380.0,-581660.0,0.6407443461321456,-0.9638209318320484,0.4268105899787117,-0.8076107046055431,-2049.5012700843067,-3130.0382862837128,10366.51,1559,空:-0.02,多 :0.54,343,298.5,51.5,284.5,46.5,-39,168.17,30.072,,"['生技醫療業(1.62)', '化學生技醫療(1.26)', '電腦及週邊設備業(1.16)', '貿易百貨(1.08)', '光電業(1.01)']","['電子通路類(1.96)', '電腦及週邊類(1.85)', '生技醫療類(1.84)', '其他電子類(1.32)', '資訊服務類(1.31)', '紡織纖維(1.25)', '通信網路業(1.07)', '電子零組件類(1.04)']",[],[],11000.0, 10600   9026(   237),10000.0,  9000   6578(   584),11700.0,8700.0,254,21,755.8403779224367,694.6841009775635,183.9337524204741,154.17411809952588,11.4,10292
2020-04-22,10225.0,33970.5,-8603.191615159176,10513.540650802484,10390.059010260416,10749.069805261523,10181.343622170696,58049.0,599967.0,70415.0,2468390.0,36047.0,413760.0,54681.0,1264867.0,9433.5,-16285.22121244495,10467.24944824782,10524.328181585335,10723.623347407383,10282.173680182908,54363.0,430582.0,156161.0,2661315.0,68542.0,572505.0,180474.0,3961131.0,-34748.0,0.0,9434.375,10400.0,10242.64705882353,10190.32258064516,0.0,0.0,0.0,0.0,60.0,672.0,88.0,583.0,-6795.0,-2099.0,6199.0,5899.0,52845.0,40921.0,5482.0,8137.0,51534.0,36260.0,91705.0,202562.0,89782.0,204434.0,-556972563.0,-282498113.0,-58195078.0,-3449741790.0,-651790.0,0.573658335088432,-0.9653298043740679,0.4025298756597687,-0.8166289276077541,-534.5931241973593,-3036.3952668491083,10307.74,1534,空:-0.27,多 :0.71,399,362.0,35.0,312.0,35.0,-34,180.09,30.1,,"['電子零組件業(2.03)', '食品工業(1.16)']","['線上遊戲業(2.67)', '文化創意業(2.26)', '其他電子類(1.52)', '電子通路類(1.47)', '電子零組件類(1.37)', '生技醫療類(1.32)', '電腦及週邊類(1.25)', '航運業(1.20)', '資訊服務類(1.14)']",[],[],11000.0, 10600   8789(   364),10000.0,  9800   6102(  1465),10300.0,10000.0,181,25,903.8945542060817,485.2391298539181,221.36059862424844,123.68555748575157,1.6,10225
2020-04-21,10198.0,37794.5,-9229.942000189036,10473.754639433897,10422.201866553167,10737.515237266,10102.427853596253,58719.0,573891.0,73762.0,2512152.0,36026.0,369283.0,55128.0,1274877.0,10455.25,-21737.108420366003,10369.646262378395,10668.057454369626,10681.251430198929,10233.57240510438,70594.0,388142.0,180530.0,2814173.0,103866.0,537503.0,203643.0,4136513.0,-34647.5,0.0,9252.479338842975,10400.0,10366.287878787878,10090.90909090909,0.0,0.0,0.0,0.0,60.0,645.0,88.0,527.0,-3022.0,1063.0,45878.0,40933.0,50187.0,39979.0,59897.0,39969.0,46687.0,31231.0,114796.0,214592.0,123653.0,220438.0,-1727479532.0,-2336384493.0,-838277250.0,-24246362876.0,509200.0,0.635,-1.0,0.38740213786565403,-0.8037904368102817,-2950.117500000001,-3173.046695043669,10288.42,1848,空:-0.09,多 :0.53,498,462.5,19.5,370.0,28.0,-242,136.66,30.101999999999997,出貨日,[],[],"['光電業(-3.98)', '生技醫療業(-3.69)', '玻璃陶瓷(-3.6)', '汽車工業(-3.49)', '其他(-3.49)', '橡膠工業(-3.24)', '其他電子業(-3.22)', '塑膠工業(-3.06)', '半導體業(-3.01)', '化學生技醫療(-3.0)', '金融保險(-2.99)', '觀光事業(-2.99)', '紡織纖維(-2.93)', '電子零組件業(-2.9)', '電機機械(-2.81)', '建材營造(-2.79)', '油電燃氣業(-2.6)', '食品工業(-2.53)', '鋼鐵工業(-2.51)', '資訊服務業(-2.42)', '造紙工業(-2.32)', '電腦及週邊設備業(-2.32)', '化學工業(-2.32)', '電子通路業(-1.96)', '水泥工業(-1.82)', '航運業(-1.7)', '電器電纜(-1.68)', '通信網路業(-1.27)']","['紡織纖維(-4.42)', '觀光事業(-3.36)', '光電業類(-3.24)', '生技醫療類(-3.24)', '電子零組件類(-2.93)', '資訊服務類(-2.62)', '其他(-2.55)', '電子通路類(-2.52)', '電子工業(-2.41)', '半導體類(-2.40)', '其他電子類(-2.26)', '電腦及週邊類(-2.18)', '建材營造(-1.89)', '電機機械(-1.83)', '化學工業(-1.70)', '文化創意業(-1.40)', '航運業(-1.28)', '通信網路業(-1.08)']",11000.0, 10800   8435(  1058),10000.0,  9000   5703(   191),10600.0,10000.0,102,24,417.915615690704,1277.915651669296,161.69992576777537,265.70318879222464,55.8,10198
2020-04-20,10476.0,28994.75,-5813.071119249605,10598.24984931782,10459.016024273456,10861.770770549092,10244.29552506538,58635.0,769880.0,69567.0,1932251.0,35155.0,526605.0,54751.0,926113.0,11281.0,-15262.04251724115,10505.52524205063,10703.458758723518,10823.683772265564,10402.12466607302,65166.0,551572.0,173378.0,1799147.0,84225.0,722283.0,191902.0,2890141.0,-31829.5,0.0,9191.666666666666,10400.0,10459.722222222224,10208.163265306122,0.0,0.0,0.0,0.0,60.0,1005.0,88.0,253.0,-7970.0,-4776.0,35501.0,33125.0,44048.0,37258.0,43497.0,34413.0,39890.0,28893.0,102493.0,205035.0,100883.0,212773.0,-201492297.0,-465056482.0,-62441263.0,209143091.0,-70420.0,0.7741430728907199,-0.9633862831514942,0.4860207736764071,-0.7534714859056737,-1107.3293496749502,-1666.149395743803,10586.71,1365,多 :0.94,多 :0.97,559,583.0,8.5,450.5,27.5,2,160.26,30.072,,"['其他(1.99)', '生技醫療業(1.94)', '造紙工業(1.26)', '化學生技醫療(1.09)', '光電業(1.05)', '電機機械(1.0)']","['生技醫療類(2.81)', '紡織纖維(2.08)', '化學工業(1.55)', '通信網路業(1.52)', '其他電子類(1.49)', '電子通路類(1.04)']",['油電燃氣業(-1.01)'],[],11000.0, 11100   7920(   481),10000.0,  9000   5512(   218),10600.0,10000.0,554,12,680.5624122341866,602.3517635558135,182.53329520492161,123.04652494507843,0.4,10476
2020-04-17,10561.0,32690.0,-5264.727120759661,10615.244825098503,10408.572166851236,10903.480820268991,10234.146971702276,55936.0,856692.0,67970.0,1804271.0,29025.0,567438.0,54059.0,848991.0,10010.75,-12798.933935075645,10524.177877112515,10710.5578927814,10862.987922811228,10440.0690618042,61126.0,652824.0,167003.0,1619261.0,74193.0,783268.0,190739.0,2655367.0,-31320.75,0.0,9270.454545454546,10400.0,10454.720279720279,10226.829268292682,0.0,0.0,0.0,0.0,60.0,1191.0,88.0,243.0,-5342.0,-2430.0,27471.0,30744.0,44290.0,36920.0,31582.0,28363.0,36472.0,27855.0,94319.0,206084.0,84944.0,207418.0,-186001232.0,888264711.0,2491789030.0,20394378412.0,1266100.0,0.7813479011727689,-0.9445226549311476,0.5239647316413564,-0.7201726467559216,-1893.4990775215165,-845.5940384582382,10597.04,2332,多 :0.85,多 :0.71,557,647.5,7.5,498.0,24.5,203,180.06,30.101999999999997,起漲日,"['半導體業(5.6)', '其他電子業(1.75)', '光電業(1.55)', '電機機械(1.32)']",['觀光事業(1.21)'],[],"['線上遊戲業(-4.14)', '文化創意業(-2.87)', '化學工業(-1.11)']",11000.0, 11100   7439(  2178),10000.0,  9000   5294(   278),10800.0,10000.0,500,13,1073.6481254546134,1112.6252145953868,190.6093003602916,336.5219891097084,4.7,10561
2020-04-16,10302.0,36149.75,-7076.3850986355,10510.06284154125,10280.706742485783,10754.618681700287,10105.858349233935,52228.0,622546.0,64051.0,2167474.0,24620.0,384025.0,54234.0,1083145.0,9228.5,-16986.032292494772,10450.58122139604,10566.29196819423,10722.313859553862,10311.727416130498,48675.0,393636.0,158383.0,2104787.0,70407.0,568517.0,180482.0,3314677.0,-32698.5,0.0,9501.948051948051,10400.0,10331.31313131313,10200.0,0.0,0.0,0.0,0.0,60.0,720.0,88.0,494.0,-5284.0,-3449.0,24528.0,22124.0,41580.0,33309.0,24732.0,21421.0,32064.0,24524.0,89152.0,202589.0,78146.0,200658.0,-281799529.0,-911769686.0,938911694.0,-12455574312.0,546020.0,0.6618841718394207,-0.9672874084713744,0.4566157922953205,-0.8159564726025615,-1291.3929145358436,-2048.152375569824,10375.48,1576,多 :0.50,多 :0.48,538,723.5,6.0,541.5,26.5,-124,182.64,30.12,,[],"['資訊服務類(1.75)', '電子零組件類(1.63)', '生技醫療類(1.61)', '電子通路類(1.47)', '光電業類(1.35)']","['玻璃陶瓷(-2.24)', '汽車工業(-1.82)', '紡織纖維(-1.71)', '觀光事業(-1.56)', '橡膠工業(-1.49)', '金融保險(-1.49)', '塑膠工業(-1.38)', '航運業(-1.23)', '其他(-1.21)', '電器電纜(-1.17)', '鋼鐵工業(-1.14)']",[],11000.0, 10600   6323(   909),10000.0,  9000   5016(  1567),10400.0,9800.0,617,12,793.4489695754486,680.7044430045514,233.31508839909927,139.15558436090072,29.9,10302
2020-04-15,10450.0,36100.5,-5751.6896134755725,10557.955603828286,10286.085192697768,10798.388663046982,10124.911764705883,47772.0,620045.0,54465.0,2076909.0,22525.0,371742.0,49908.0,1032133.0,9635.25,-14895.554775908833,10482.582384339305,10550.783222849781,10748.770744019117,10327.701155625597,39451.0,353389.0,148404.0,1983452.0,61067.0,547048.0,170241.0,3157484.0,-32242.5,0.0,9570.454545454546,10400.0,10324.621212121212,10225.0,0.0,0.0,0.0,0.0,60.0,756.0,88.0,523.0,-3395.0,-2273.0,14386.0,11027.0,38385.0,30593.0,11308.0,11697.0,30800.0,19532.0,78352.0,197106.0,71044.0,188734.0,-1317304400.0,-541254764.0,2635514867.0,-3684276345.0,-979760.0,0.6571444074265039,-0.9736450625172128,0.4770755214650542,-0.8515789002111448,-320.67616478490527,-1934.952350680861,10447.21,1949,多 :0.61,多 :0.38,534,790.5,9.5,573.0,29.0,-36,207.67,30.031,多頭k,"['觀光事業(4.48)', '玻璃陶瓷(3.19)', '造紙工業(2.39)', '航運業(2.27)', '汽車工業(2.16)', '電子零組件業(2.08)', '化學工業(1.93)', '金融保險(1.68)', '建材營造(1.58)', '化學生技醫療(1.44)', '資訊服務業(1.41)', '電子通路業(1.4)', '其他(1.36)', '鋼鐵工業(1.34)', '油電燃氣業(1.12)', '塑膠工業(1.01)']","['觀光事業(3.82)', '航運業(2.29)', '電子零組件類(2.26)', '電腦及週邊類(2.14)', '建材營造(1.58)', '其他電子類(1.44)', '電子工業(1.35)', '電機機械(1.25)', '化學工業(1.24)', '其他(1.23)', '光電業類(1.20)', '半導體類(1.15)']",[],[],11000.0, 10600   5414( -5769),10000.0,  9000   3449( -8073),11300.0,10600.0,989,11,1122.281153832212,713.8143084677879,224.1080199315681,189.71352812843185,5.6,10450
2020-04-14,10346.0,42779.0,-12667.2666,10591.19482697185,9900.991157303994,0.0,0.0,82100.0,1204137.0,139155.0,2597502.0,54169.0,1216118.0,95418.0,1217509.0,6869.5,-21277.79653,10617.336424716572,10165.732232467271,0.0,0.0,77467.0,1193124.0,190021.0,2259779.0,110731.0,1045838.0,266763.0,3743258.0,-33017.5,0.0,10351.792114695341,10113.04347826087,0.0,0.0,0.0,0.0,0.0,0.0,60.0,714.0,90.0,239.0,5041.0,264.0,0.0,0.0,68478.0,127096.0,0.0,0.0,78063.0,119583.0,118345.0,287488.0,121477.0,287068.0,1110698240.0,412475276.0,1912338904.0,15122019154.0,-45410.0,0.0,0.0,0.852,-0.8667907470087313,0.0,-12955.595195455428,10332.94,1580,多 :0.67,多 :0.11,508,815.5,11.0,609.5,32.0,151,191.24,30.071,起漲日,"['電子零組件業(3.9)', '光電業(3.16)', '半導體業(2.63)', '汽車工業(2.63)', '其他(2.6)', '紡織纖維(2.51)', '塑膠工業(2.49)', '電機機械(2.43)', '金融保險(2.43)', '橡膠工業(2.39)', '電腦及週邊設備業(2.22)', '水泥工業(1.93)', '其他電子業(1.83)', '生技醫療業(1.79)', '化學生技醫療(1.76)', '航運業(1.73)', '化學工業(1.72)', '觀光事業(1.65)', '玻璃陶瓷(1.62)', '建材營造(1.58)', '貿易百貨(1.51)', '電子通路業(1.44)', '造紙工業(1.28)', '通信網路業(1.14)', '油電燃氣業(1.09)', '資訊服務業(1.06)', '鋼鐵工業(1.01)']","['半導體類(2.87)', '其他電子類(2.65)', '電子工業(2.45)', '光電業類(2.23)', '通信網路業(2.13)', '電子零組件類(2.07)', '電腦及週邊類(1.56)', '生技醫療類(1.50)', '觀光事業(1.49)', '電機機械(1.48)', '電子通路類(1.44)', '化學工業(1.31)', '紡織纖維(1.23)', '其他(1.17)', '文化創意業(1.14)', '航運業(1.14)', '線上遊戲業(1.02)']",[],[],10500.0, 10400  14246(  -177),10000.0, 10150  14609( 12153),10450.0,10300.0,734,13,1115.2718788018096,320.3970451881905,237.7255658509572,96.2985414090428,-1.1,10346
2020-04-13,10073.0,45865.25,-17763.864124305554,10430.320803666124,9776.79818061897,0.0,0.0,77660.0,865564.0,133388.0,3397354.0,53065.0,860761.0,95471.0,1701778.0,5297.0,-27231.548050559908,10524.163114880626,10000.772264212948,0.0,0.0,76076.0,757811.0,181920.0,3386894.0,102388.0,744744.0,233216.0,5214670.0,-33547.5,0.0,10102.777777777776,9996.875,0.0,0.0,0.0,0.0,0.0,0.0,60.0,444.0,90.0,484.0,8380.0,3735.0,0.0,0.0,69504.0,98609.0,0.0,0.0,71412.0,103111.0,113671.0,261696.0,113120.0,273255.0,-1125778280.0,-2083833712.0,1252698119.0,-7588758124.0,522250.0,0.0,0.0,0.7160715500615218,-0.949602461053468,0.0,-10967.378016636352,10099.22,1189,多 :0.56,空:-0.17,451,822.0,14.5,604.0,38.0,-75,166.97,30.12,,['電器電纜(3.58)'],"['電子通路類(2.55)', '生技醫療類(2.11)', '航運業(1.90)']","['汽車工業(-1.8)', '油電燃氣業(-1.3)', '塑膠工業(-1.12)', '造紙工業(-1.1)', '航運業(-1.09)']","['紡織纖維(-1.80)', '線上遊戲業(-1.61)', '文化創意業(-1.37)', '半導體類(-1.22)']",10500.0, 10400  14423(   844),10000.0,  9700  14470(  1016),10350.0,10000.0,236,19,434.126823122007,628.0646120179929,128.46997076255184,162.77151369744817,25.6,10073
2020-04-10,10133.0,44870.25,-16531.40559916667,10434.486328085066,9807.757679546608,0.0,0.0,76399.0,975304.0,130948.0,3212950.0,53809.0,957014.0,99503.0,1577138.0,4637.75,-25247.275670422823,10550.21295021894,10043.669282344765,0.0,0.0,70383.0,841243.0,179519.0,3105654.0,98481.0,825688.0,229592.0,4846738.0,-30745.5,0.0,10040.47619047619,10014.864864864865,0.0,0.0,0.0,0.0,0.0,0.0,60.0,567.0,90.0,348.0,4366.0,5653.0,0.0,0.0,66357.0,98918.0,0.0,0.0,69394.0,99306.0,107135.0,261366.0,110353.0,269893.0,-534292223.0,-430947027.0,311194496.0,-34246147.0,283590.0,0.0,0.0,0.7133855270793248,-0.9211867556587348,0.0,-10945.957018961992,10157.61,1223,多 :0.99,空:-0.38,379,802.5,16.0,561.0,46.5,0,173.63,30.103,,"['金融保險(2.62)', '電機機械(2.42)', '橡膠工業(2.26)', '電器電纜(2.03)', '建材營造(1.93)', '玻璃陶瓷(1.86)', '汽車工業(1.61)', '化學工業(1.48)', '其他(1.31)', '紡織纖維(1.14)', '鋼鐵工業(1.08)', '電子通路業(1.03)', '塑膠工業(1.02)']","['線上遊戲業(2.51)', '化學工業(2.19)', '文化創意業(2.18)', '電子通路類(2.10)', '通信網路業(1.96)', '其他電子類(1.43)', '紡織纖維(1.11)']","['光電業(-1.14)', '半導體業(-1.07)']",[],10500.0, 10400  13579(  2432),10000.0,  9700  13454(  1993),10500.0,9600.0,128,21,632.4068059907603,491.53170078923966,161.83217011473118,123.02904904526878,0.7,10133
2020-04-09,10101.0,42819.0,-17312.342583952704,10408.199414925835,9781.14877360327,0.0,0.0,74954.0,976164.0,131419.0,3363546.0,51370.0,945416.0,95504.0,1611446.0,5199.0,-24393.121571577074,10534.069872531589,10052.914330053258,0.0,0.0,63625.0,829827.0,170851.0,3236195.0,94510.0,804523.0,226353.0,5088627.0,-30564.5,0.0,9951.645264847511,10006.25,0.0,0.0,0.0,0.0,0.0,0.0,59.0,590.0,89.0,407.0,4815.0,7248.0,0.0,0.0,61801.0,94858.0,0.0,0.0,64056.0,94621.0,101520.0,259261.0,106591.0,264111.0,-625948661.0,-1844129582.0,376073342.0,-7189386634.0,-1990850.0,0.0,0.0,0.6646751979772819,-0.9060290758946576,0.0,-11216.628542755354,10119.43,1653,多 :0.83,空:-0.45,243,662.5,34.0,460.5,62.5,-74,177.12,30.151999999999997,,"['航運業(3.66)', '生技醫療業(1.85)']","['光電業類(1.58)', '線上遊戲業(1.09)', '觀光事業(1.00)']",['光電業(-2.3)'],"['通信網路業(-1.64)', '半導體類(-1.45)']",10500.0, 10400  11147(  2750),10000.0,  9000  11998(    75),10500.0,9900.0,81,24,588.6333941046796,949.5446847453204,128.11466088130544,269.2143382986946,33.4,10101
2020-04-08,10127.0,41407.25,-14845.964743421053,10405.033227302867,9804.514455609764,0.0,0.0,72534.0,1039226.0,121601.0,3256825.0,52314.0,1005681.0,93532.0,1568433.0,5060.25,-22411.69030640502,10539.718579743703,10078.664211311103,0.0,0.0,60645.0,864800.0,166428.0,3149524.0,88006.0,850262.0,216765.0,4947954.0,-29862.5,0.0,9816.111111111111,10043.270300333703,0.0,0.0,0.0,0.0,0.0,0.0,58.0,624.0,90.0,316.0,1707.0,5690.0,0.0,0.0,56850.0,91379.0,0.0,0.0,63529.0,88757.0,96845.0,254908.0,104044.0,259643.0,-491591551.0,-201133828.0,1792096310.0,229712398.0,250230.0,0.0,0.0,0.6550520311345822,-0.8790832558942772,0.0,-10772.51021759054,10137.47,1706,多 :1.04,空:-0.43,117,466.5,44.0,323.5,79.5,3,184.91,30.16,多頭k,"['玻璃陶瓷(7.48)', '其他電子業(4.03)', '電子零組件業(3.71)', '航運業(3.55)', '水泥工業(3.51)', '橡膠工業(2.98)', '電器電纜(2.83)', '觀光事業(2.45)', '紡織纖維(2.05)', '其他(2.05)', '光電業(2.0)', '塑膠工業(1.75)', '化學工業(1.73)', '鋼鐵工業(1.63)', '建材營造(1.6)', '造紙工業(1.58)', '汽車工業(1.45)', '食品工業(1.18)', '化學生技醫療(1.16)', '電機機械(1.12)', '電子通路業(1.04)', '油電燃氣業(1.03)']","['電子零組件類(4.43)', '光電業類(3.26)', '紡織纖維(2.88)', '電子通路類(2.76)', '電子工業(2.43)', '電腦及週邊類(2.24)', '半導體類(2.11)', '電機機械(2.05)', '其他電子類(1.91)', '化學工業(1.88)', '生技醫療類(1.82)', '資訊服務類(1.80)', '其他(1.61)', '建材營造(1.40)']",[],[],10500.0, 10000  10192(   -48),9000.0,  8400  11661(  2052),10500.0,10000.0,82,27,1112.753502538385,458.127271661615,273.36184247209314,122.17409270790688,11.5,10127
